-2	-2	0.000335463
-2	-1.95	0.000408712
-2	-1.9	0.000495472
-2	-1.85	0.000597654
-2	-1.8	0.000717312
-2	-1.75	0.000856634
-2	-1.7	0.00101791
-2	-1.65	0.00120353
-2	-1.6	0.00141589
-2	-1.55	0.00165741
-2	-1.5	0.00193046
-2	-1.45	0.00223727
-2	-1.4	0.00257991
-2	-1.35	0.0029602
-2	-1.3	0.00337959
-2	-1.25	0.00383917
-2	-1.2	0.00433949
-2	-1.15	0.00488054
-2	-1.1	0.00546168
-2	-1.05	0.00608153
-2	-1	0.00673795
-2	-0.95	0.00742799
-2	-0.9	0.00814786
-2	-0.85	0.00889292
-2	-0.8	0.0096577
-2	-0.75	0.0104359
-2	-0.7	0.0112206
-2	-0.65	0.0120042
-2	-0.6	0.0127784
-2	-0.55	0.0135347
-2	-0.5	0.0142642
-2	-0.45	0.0149581
-2	-0.4	0.0156076
-2	-0.35	0.016204
-2	-0.3	0.0167392
-2	-0.25	0.017206
-2	-0.2	0.0175975
-2	-0.15	0.0179081
-2	-0.1	0.0181334
-2	-0.05	0.0182699
-2	0	0.0183156
-2	0.05	0.0182699
-2	0.1	0.0181334
-2	0.15	0.0179081
-2	0.2	0.0175975
-2	0.25	0.017206
-2	0.3	0.0167392
-2	0.35	0.016204
-2	0.4	0.0156076
-2	0.45	0.0149581
-2	0.5	0.0142642
-2	0.55	0.0135347
-2	0.6	0.0127784
-2	0.65	0.0120042
-2	0.7	0.0112206
-2	0.75	0.0104359
-2	0.8	0.0096577
-2	0.85	0.00889292
-2	0.9	0.00814786
-2	0.95	0.00742799
-2	1	0.00673795
-2	1.05	0.00608153
-2	1.1	0.00546168
-2	1.15	0.00488054
-2	1.2	0.00433949
-2	1.25	0.00383917
-2	1.3	0.00337959
-2	1.35	0.0029602
-2	1.4	0.00257991
-2	1.45	0.00223727
-2	1.5	0.00193046
-2	1.55	0.00165741
-2	1.6	0.00141589
-2	1.65	0.00120353
-2	1.7	0.00101791
-2	1.75	0.000856634
-2	1.8	0.000717312
-2	1.85	0.000597654
-2	1.9	0.000495472
-2	1.95	0.000408712
-2	2	0.000335463
