10	-8.58733e-11
12	6.86986e-11
14	9.73231e-11
16	1.14498e-11
18	5.72489e-11
20	-1.14498e-10
22	6.86986e-11
24	1.14498e-11
26	-6.29737e-11
28	-4.57991e-11
30	-3.43493e-11
32	-1.14498e-11
34	-2.86244e-11
36	6.86986e-11
38	-1.14498e-11
40	3.43493e-11
42	-1.8314
44	-0.863282
46	-0.610465
48	-0.485886
50	-0.410915
52	-0.360842
54	-0.325149
56	-0.298542
58	-0.278054
60	-0.261886
62	-0.248888
64	-0.238288
66	-0.229551
68	-0.222293
70	-0.216234
72	-0.211166
74	-0.206932
76	-0.20341
78	-0.200509
80	-0.198155
