10	1.77636e-15
12	-4.44089e-15
14	5.32907e-15
16	0
18	7.99361e-15
20	-8.88178e-16
22	5.32907e-15
24	-7.10543e-15
26	2.66454e-15
28	0
30	1.77636e-15
32	-4.44089e-15
34	-3.55271e-15
36	-8.88178e-16
38	8.88178e-16
40	-0.257662
42	-0.188442
44	-0.028884
46	-0.00618883
48	-0.00247943
50	-0.00126462
52	-0.000745764
54	-0.000486323
56	-0.00034178
58	-0.000254553
60	-0.000198567
62	-0.000160833
64	-0.000134378
66	-0.00011523
68	-0.000101007
70	-9.02248e-05
72	-8.19206e-05
74	-7.54544e-05
76	-7.0389e-05
78	-6.64197e-05
