1	-0.0448073
1.4	-0.0809377
1.8	-0.0592556
2.2	-0.0597943
2.6	-0.0873456
3	-0.0434439
3.4	-0.0477487
3.8	-0.04527
4.2	-0.0556178
4.6	-0.0534691
5	-0.0480216
5.4	-0.065915
5.8	-0.0583445
6.2	-0.0599906
6.6	-0.0172106
7	-0.0433425
7.4	-0.0448653
7.8	-0.0163434
8.2	-0.0572276
8.6	-0.0561006
9	-0.0547037
9.4	-0.0580544
9.8	-0.057006
10.2	-0.0598097
10.6	-0.0367807
11	-0.0442167
11.4	-0.0421432
11.8	-0.100569
12.2	-0.0580815
12.6	-0.0584969
13	-0.0696857
13.4	-0.0528797
13.8	-0.0551764
14.2	-0.0590154
14.6	-0.0455515
15	-0.045882
